leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
22,PARIS SG,AS MONACO,LOSC,ASSE,OM,OL,BORDEAUX,REIMS,SC BASTIA,FC LORIENT,FC NANTES,TOULOUSE FC,OGC NICE,EA GUINGAMP,MONTPELLIER,RENNES,Evian TG,VAFC,FCSM,AC AJACCIO
23,PARIS SG,AS MONACO,LOSC,ASSE,OM,SC BASTIA,OL,BORDEAUX,REIMS,FC LORIENT,FC NANTES,OGC NICE,TOULOUSE FC,MONTPELLIER,RENNES,EA GUINGAMP,Evian TG,VAFC,FCSM,AC AJACCIO
24,PARIS SG,AS MONACO,LOSC,ASSE,OM,OL,BORDEAUX,REIMS,SC BASTIA,FC LORIENT,FC NANTES,TOULOUSE FC,OGC NICE,MONTPELLIER,RENNES,EA GUINGAMP,Evian TG,VAFC,FCSM,AC AJACCIO
25,PARIS SG,AS MONACO,LOSC,ASSE,OM,OL,REIMS,BORDEAUX,SC BASTIA,TOULOUSE FC,FC LORIENT,FC NANTES,OGC NICE,MONTPELLIER,RENNES,EA GUINGAMP,Evian TG,VAFC,FCSM,AC AJACCIO
26,PARIS SG,AS MONACO,LOSC,ASSE,OM,OL,BORDEAUX,REIMS,SC BASTIA,TOULOUSE FC,MONTPELLIER,FC LORIENT,RENNES,FC NANTES,OGC NICE,EA GUINGAMP,Evian TG,VAFC,FCSM,AC AJACCIO
27,PARIS SG,AS MONACO,LOSC,ASSE,OM,OL,REIMS,BORDEAUX,SC BASTIA,TOULOUSE FC,MONTPELLIER,FC LORIENT,EA GUINGAMP,RENNES,FC NANTES,OGC NICE,Evian TG,VAFC,FCSM,AC AJACCIO
28,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,REIMS,BORDEAUX,TOULOUSE FC,SC BASTIA,FC LORIENT,OGC NICE,MONTPELLIER,EA GUINGAMP,FC NANTES,RENNES,Evian TG,VAFC,FCSM,AC AJACCIO
29,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,REIMS,TOULOUSE FC,BORDEAUX,OGC NICE,SC BASTIA,FC LORIENT,EA GUINGAMP,MONTPELLIER,FC NANTES,RENNES,Evian TG,VAFC,FCSM,AC AJACCIO
30,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,REIMS,TOULOUSE FC,BORDEAUX,SC BASTIA,OGC NICE,FC LORIENT,FC NANTES,EA GUINGAMP,MONTPELLIER,RENNES,Evian TG,VAFC,FCSM,AC AJACCIO
31,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,REIMS,TOULOUSE FC,BORDEAUX,SC BASTIA,OGC NICE,RENNES,FC LORIENT,FC NANTES,MONTPELLIER,EA GUINGAMP,Evian TG,VAFC,FCSM,AC AJACCIO
32,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,BORDEAUX,TOULOUSE FC,REIMS,SC BASTIA,OGC NICE,RENNES,MONTPELLIER,FC LORIENT,FC NANTES,EA GUINGAMP,Evian TG,VAFC,FCSM,AC AJACCIO
33,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,BORDEAUX,REIMS,TOULOUSE FC,FC LORIENT,SC BASTIA,FC NANTES,OGC NICE,RENNES,MONTPELLIER,Evian TG,EA GUINGAMP,FCSM,VAFC,AC AJACCIO
34,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,BORDEAUX,REIMS,TOULOUSE FC,SC BASTIA,FC NANTES,FC LORIENT,RENNES,MONTPELLIER,OGC NICE,Evian TG,EA GUINGAMP,FCSM,VAFC,AC AJACCIO
35,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,BORDEAUX,REIMS,TOULOUSE FC,FC NANTES,SC BASTIA,FC LORIENT,MONTPELLIER,OGC NICE,RENNES,EA GUINGAMP,Evian TG,FCSM,VAFC,AC AJACCIO
36,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,BORDEAUX,REIMS,FC LORIENT,TOULOUSE FC,FC NANTES,SC BASTIA,RENNES,MONTPELLIER,OGC NICE,EA GUINGAMP,Evian TG,FCSM,VAFC,AC AJACCIO
37,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,BORDEAUX,FC LORIENT,REIMS,SC BASTIA,TOULOUSE FC,FC NANTES,RENNES,MONTPELLIER,EA GUINGAMP,OGC NICE,Evian TG,FCSM,VAFC,AC AJACCIO
38,PARIS SG,AS MONACO,LOSC,ASSE,OL,OM,BORDEAUX,FC LORIENT,TOULOUSE FC,SC BASTIA,REIMS,RENNES,FC NANTES,Evian TG,MONTPELLIER,EA GUINGAMP,OGC NICE,FCSM,VAFC,AC AJACCIO
