leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
19,OM,OL,PARIS SG,ASSE,AS MONACO,BORDEAUX,FC NANTES,RENNES,REIMS,MONTPELLIER,LOSC,OGC NICE,EA GUINGAMP,TOULOUSE FC,FC LORIENT,RC LENS,FC METZ,Evian TG,SC BASTIA,SM CAEN
20,OL,OM,ASSE,PARIS SG,AS MONACO,BORDEAUX,FC NANTES,MONTPELLIER,RENNES,REIMS,LOSC,OGC NICE,EA GUINGAMP,SC BASTIA,TOULOUSE FC,FC LORIENT,FC METZ,Evian TG,RC LENS,SM CAEN
21,OL,OM,PARIS SG,ASSE,AS MONACO,MONTPELLIER,BORDEAUX,FC NANTES,RENNES,OGC NICE,REIMS,LOSC,EA GUINGAMP,FC LORIENT,SC BASTIA,TOULOUSE FC,FC METZ,Evian TG,RC LENS,SM CAEN
22,OL,OM,PARIS SG,ASSE,AS MONACO,MONTPELLIER,BORDEAUX,OGC NICE,FC NANTES,RENNES,REIMS,EA GUINGAMP,LOSC,SC BASTIA,FC LORIENT,Evian TG,TOULOUSE FC,SM CAEN,RC LENS,FC METZ
23,OL,OM,PARIS SG,ASSE,AS MONACO,MONTPELLIER,BORDEAUX,OGC NICE,FC NANTES,RENNES,EA GUINGAMP,REIMS,LOSC,TOULOUSE FC,SM CAEN,SC BASTIA,FC LORIENT,Evian TG,RC LENS,FC METZ
24,OL,OM,PARIS SG,ASSE,AS MONACO,BORDEAUX,MONTPELLIER,OGC NICE,FC NANTES,EA GUINGAMP,LOSC,RENNES,REIMS,SM CAEN,SC BASTIA,FC LORIENT,TOULOUSE FC,Evian TG,RC LENS,FC METZ
25,OL,OM,PARIS SG,ASSE,AS MONACO,BORDEAUX,MONTPELLIER,EA GUINGAMP,OGC NICE,FC NANTES,LOSC,RENNES,SC BASTIA,REIMS,SM CAEN,FC LORIENT,TOULOUSE FC,Evian TG,RC LENS,FC METZ
26,OL,PARIS SG,OM,AS MONACO,ASSE,BORDEAUX,MONTPELLIER,EA GUINGAMP,OGC NICE,SC BASTIA,FC NANTES,LOSC,RENNES,SM CAEN,REIMS,Evian TG,FC LORIENT,TOULOUSE FC,RC LENS,FC METZ
27,OL,PARIS SG,OM,AS MONACO,MONTPELLIER,ASSE,BORDEAUX,FC NANTES,LOSC,RENNES,EA GUINGAMP,SM CAEN,OGC NICE,SC BASTIA,REIMS,Evian TG,FC LORIENT,TOULOUSE FC,RC LENS,FC METZ
28,OL,PARIS SG,OM,AS MONACO,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,SC BASTIA,FC NANTES,REIMS,EA GUINGAMP,SM CAEN,OGC NICE,Evian TG,FC LORIENT,TOULOUSE FC,RC LENS,FC METZ
29,OL,PARIS SG,OM,AS MONACO,ASSE,BORDEAUX,MONTPELLIER,LOSC,FC NANTES,EA GUINGAMP,RENNES,SC BASTIA,REIMS,SM CAEN,FC LORIENT,OGC NICE,Evian TG,TOULOUSE FC,RC LENS,FC METZ
30,PARIS SG,OL,OM,AS MONACO,ASSE,BORDEAUX,MONTPELLIER,LOSC,FC NANTES,EA GUINGAMP,RENNES,OGC NICE,SC BASTIA,SM CAEN,REIMS,Evian TG,FC LORIENT,TOULOUSE FC,RC LENS,FC METZ
31,PARIS SG,OL,OM,AS MONACO,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,FC NANTES,EA GUINGAMP,SM CAEN,OGC NICE,SC BASTIA,Evian TG,REIMS,FC LORIENT,TOULOUSE FC,FC METZ,RC LENS
32,PARIS SG,OL,AS MONACO,OM,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,OGC NICE,FC NANTES,EA GUINGAMP,SM CAEN,SC BASTIA,Evian TG,FC LORIENT,REIMS,TOULOUSE FC,RC LENS,FC METZ
33,PARIS SG,OL,AS MONACO,OM,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,FC NANTES,OGC NICE,EA GUINGAMP,SM CAEN,REIMS,TOULOUSE FC,SC BASTIA,Evian TG,FC LORIENT,FC METZ,RC LENS
34,PARIS SG,OL,AS MONACO,ASSE,OM,BORDEAUX,MONTPELLIER,LOSC,RENNES,FC NANTES,EA GUINGAMP,OGC NICE,SC BASTIA,TOULOUSE FC,SM CAEN,FC LORIENT,REIMS,Evian TG,FC METZ,RC LENS
35,PARIS SG,OL,AS MONACO,OM,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,EA GUINGAMP,FC NANTES,SC BASTIA,OGC NICE,SM CAEN,FC LORIENT,TOULOUSE FC,REIMS,Evian TG,FC METZ,RC LENS
36,PARIS SG,OL,AS MONACO,OM,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,SC BASTIA,EA GUINGAMP,FC NANTES,SM CAEN,FC LORIENT,OGC NICE,TOULOUSE FC,REIMS,Evian TG,FC METZ,RC LENS
37,PARIS SG,OL,AS MONACO,OM,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,EA GUINGAMP,SC BASTIA,OGC NICE,FC NANTES,REIMS,SM CAEN,FC LORIENT,TOULOUSE FC,Evian TG,FC METZ,RC LENS
38,PARIS SG,OL,AS MONACO,OM,ASSE,BORDEAUX,MONTPELLIER,LOSC,RENNES,EA GUINGAMP,OGC NICE,SC BASTIA,SM CAEN,FC NANTES,REIMS,FC LORIENT,TOULOUSE FC,Evian TG,FC METZ,RC LENS
