id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
69314,20210807,1900,3,19,GF38,13,EAG,0,0,43.0,44.7,59.1,15,1,3,401,63,79.8,67.0,11,9.1,9,4,2,7,2,44.4,13,53.8,11,11,2,0,57.0,55.3,40.9,10,1,3,538,53,84.8,75.1,14,14.3,8,1,3,3,5,12.5,16,75.0,11,9,2,1
69315,20210807,1900,3,12,HAC,1,PFC,1,2,46.2,49.6,58.8,13,3,6,440,32,80.0,65.9,20,40.0,11,3,2,2,9,27.3,17,47.1,10,9,0,1,53.8,50.4,41.2,15,1,2,522,92,81.0,61.5,14,14.3,9,2,0,3,6,22.2,23,60.9,15,12,1,0
69316,20210807,1900,3,5,PAUFC,7,TFC,0,1,46.8,44.6,33.3,12,2,4,400,79,78.8,68.9,27,22.2,14,4,3,6,8,28.6,20,80.0,12,7,1,0,53.2,55.4,66.7,14,1,1,471,74,82.0,62.4,10,0.0,4,2,2,1,3,50.0,30,33.3,22,13,1,0
69317,20210807,1900,3,15,VAFC,8,NO,0,3,61.7,45.2,46.7,18,0,5,552,35,85.0,74.8,21,23.8,14,2,3,9,5,14.3,18,55.6,9,9,2,0,38.3,54.8,53.3,20,1,3,349,44,75.4,62.2,7,28.6,7,3,2,4,3,42.9,34,50.0,16,18,2,0
69310,20210811,1900,3,11,SCB,16,ASNL,1,1,45.2,43.7,51.6,16,0,3,314,69,67.8,50.6,13,23.1,7,4,2,2,5,57.1,16,50.0,12,18,2,0,54.8,56.3,48.4,12,2,3,383,59,76.5,63.2,10,10.0,19,4,10,14,5,21.1,27,44.4,9,11,1,0
69327,20210814,1500,4,7,TFC,11,SCB,1,0,49.4,51.0,50.0,14,1,2,434,60,82.5,70.3,9,22.2,13,2,3,5,8,15.4,13,38.5,18,8,0,0,50.6,49.0,50.0,4,2,2,437,50,82.2,64.3,18,5.6,7,3,2,5,2,42.9,12,50.0,10,15,2,0
69319,20210814,1900,4,13,EAG,17,ASC,0,2,63.9,50.9,51.4,11,2,16,484,42,83.1,67.4,40,20.0,13,5,1,7,6,38.5,14,57.1,13,17,3,0,36.1,49.1,48.6,12,1,4,285,67,71.2,57.8,13,23.1,9,2,4,4,5,22.2,17,70.6,27,14,2,0
69320,20210814,1900,4,16,ASNL,15,VAFC,0,1,62.8,54.4,47.6,6,3,4,363,53,78.2,64.4,19,36.8,11,2,2,5,6,18.2,26,57.7,9,17,1,1,37.2,45.6,52.4,10,2,5,219,44,64.4,54.9,9,44.4,15,5,3,5,10,33.3,21,42.9,23,27,3,0
69321,20210814,1900,4,8,NO,5,PAUFC,0,0,55.4,50.0,47.2,6,0,9,470,44,82.3,69.0,28,28.6,13,3,2,4,9,23.1,22,77.3,18,12,0,0,44.6,50.0,52.8,7,1,5,373,60,76.9,70.2,22,22.7,11,1,2,6,5,9.1,17,82.4,22,15,0,0
69322,20210814,1900,4,14,CNFC,19,GF38,1,0,52.3,48.1,42.4,5,2,5,411,48,82.7,69.2,16,25.0,11,4,3,6,5,36.4,13,69.2,11,11,3,0,47.7,51.9,57.6,9,3,6,367,62,80.9,68.0,19,31.6,12,1,2,5,7,8.3,14,64.3,12,12,3,1
69324,20210814,1900,4,9,QRM,18,DFCO,2,1,30.4,53.8,48.5,13,3,2,223,57,64.1,57.5,14,42.9,18,5,5,9,9,27.8,22,68.2,25,17,1,0,69.6,46.2,51.5,6,3,6,528,71,82.6,68.2,18,16.7,11,5,1,4,7,45.5,13,76.9,11,18,3,0
69325,20210814,1900,4,20,RAF,12,HAC,0,0,51.4,51.5,54.8,2,3,3,385,83,81.3,68.2,25,12.0,10,2,3,6,4,20.0,10,80.0,5,15,1,0,48.6,48.5,45.2,6,1,1,369,72,76.4,64.4,11,27.3,5,0,1,1,4,0.0,12,75.0,18,13,1,0
69326,20210814,1900,4,3,FCSM,10,USLD,1,0,51.6,40.5,36.2,5,0,4,399,63,78.9,61.3,10,20.0,11,2,3,5,6,18.2,19,36.8,25,16,2,0,48.4,59.5,63.8,13,1,10,356,57,74.4,63.3,26,26.9,13,2,6,5,8,15.4,6,50.0,11,10,3,0
69323,20210816,2045,4,1,PFC,4,AJA,1,1,37.7,48.9,50.0,16,2,7,357,67,77.3,61.0,13,38.5,16,5,6,7,9,31.3,13,76.9,17,9,2,0,62.3,51.1,50.0,13,2,6,592,64,82.6,67.6,23,8.7,8,5,1,3,5,62.5,20,65.0,13,9,2,0
69669,20210825,1900,4,6,ACA,2,SMC,2,0,47.1,44.9,50.0,9,2,2,400,53,77.3,60.0,16,18.8,11,4,2,3,8,36.4,12,50.0,8,23,2,0,52.9,55.1,50.0,12,3,1,454,58,81.7,70.4,11,45.5,7,1,2,2,5,14.3,13,46.2,12,7,2,1
69332,20210821,1500,5,18,DFCO,7,TFC,2,4,41.9,53.4,57.9,6,0,5,337,64,76.9,61.1,12,16.7,16,4,3,7,9,25.0,16,50.0,6,17,3,0,58.1,46.6,42.1,6,0,3,473,68,84.4,71.6,11,27.3,15,7,3,5,10,46.7,17,52.9,19,16,3,0
69329,20210821,1900,5,17,ASC,3,FCSM,0,0,41.2,53.9,61.5,11,0,5,363,63,76.9,61.3,14,28.6,7,2,3,4,3,28.6,17,52.9,17,10,0,1,58.8,46.1,38.5,18,2,7,514,57,85.2,74.6,22,31.8,13,3,4,7,6,23.1,16,75.0,18,13,3,1
69331,20210821,1900,5,2,SMC,16,ASNL,1,0,41.2,52.7,64.3,16,2,5,326,63,71.2,59.9,10,30.0,11,4,1,4,7,36.4,27,63.0,12,16,0,0,58.8,47.3,35.7,12,1,4,457,59,82.1,66.5,20,25.0,11,3,2,5,6,27.3,23,47.8,14,12,1,0
69333,20210821,1900,5,10,USLD,8,NO,0,2,43.9,46.4,49.0,11,2,5,327,86,66.7,56.3,23,39.1,8,2,0,2,6,25.0,11,72.7,6,19,1,0,56.1,53.6,51.0,16,6,4,433,68,79.9,67.2,13,38.5,9,7,0,4,5,77.8,15,33.3,20,18,2,0
69334,20210821,1900,5,19,GF38,9,QRM,2,0,54.5,55.7,62.9,10,2,5,436,54,78.9,67.6,20,50.0,13,4,0,5,8,30.8,17,35.3,11,11,0,0,45.5,44.3,37.1,12,2,6,365,55,72.3,61.4,13,15.4,7,1,4,2,5,14.3,16,81.3,10,19,1,0
69335,20210821,1900,5,12,HAC,14,CNFC,2,1,39.8,49.6,45.0,13,1,6,317,55,73.8,57.8,16,25.0,14,5,3,8,6,35.7,17,35.3,18,16,3,0,60.2,50.4,55.0,15,3,1,493,56,82.4,66.7,13,23.1,8,3,0,1,7,37.5,9,55.6,13,17,3,0
69336,20210821,1900,5,5,PAUFC,11,SCB,2,0,41.7,50.8,43.5,14,2,6,341,61,76.2,62.8,17,35.3,16,5,7,6,10,31.3,18,77.8,29,11,2,0,58.3,49.2,56.5,17,1,8,463,51,82.9,66.9,30,16.7,11,1,3,3,8,9.1,13,69.2,16,11,2,1
69337,20210821,1900,5,15,VAFC,20,RAF,1,4,57.5,50.0,46.4,11,0,5,429,56,82.5,63.6,26,15.4,10,3,2,4,6,30.0,14,50.0,11,15,2,1,42.5,50.0,53.6,11,1,7,317,60,81.1,70.9,21,23.8,13,9,1,5,8,69.2,11,45.5,19,15,3,0
69330,20210823,2045,5,4,AJA,13,EAG,1,2,66.6,49.6,55.3,9,0,7,592,73,85.1,74.8,32,15.6,14,4,1,6,8,28.6,20,70.0,5,14,2,0,33.4,50.4,44.7,21,1,2,308,58,73.4,62.3,6,33.3,7,2,1,3,4,28.6,17,47.1,32,12,1,0
69328,20210914,1900,5,6,ACA,1,PFC,1,0,49.1,45.9,52.2,19,2,2,435,54,77.2,66.8,10,30.0,11,3,5,6,5,27.3,9,55.6,21,10,0,0,50.9,54.1,47.8,13,2,4,452,72,74.1,59.1,11,36.4,7,3,1,1,6,42.9,19,73.7,15,10,1,1
69341,20210828,1500,6,8,NO,2,SMC,0,0,49.8,52.7,44.0,7,4,6,443,64,81.9,68.7,15,0.0,9,2,2,2,7,22.2,22,59.1,9,13,2,0,50.2,47.3,56.0,12,0,2,447,73,78.5,64.7,14,28.6,9,1,3,3,6,11.1,21,57.1,14,16,2,0
69347,20210828,1500,6,7,TFC,15,VAFC,1,0,62.3,49.6,56.7,9,4,7,476,60,85.1,68.8,19,26.3,15,4,6,6,9,26.7,25,60.0,11,22,3,0,37.7,50.4,43.3,10,1,5,284,62,74.3,58.2,12,25.0,12,4,2,5,7,33.3,21,81.0,16,13,0,0
69338,20210828,1900,6,11,SCB,12,HAC,0,0,66.5,45.5,43.2,12,5,7,497,86,81.5,64.7,25,32.0,17,4,3,6,11,23.5,11,54.5,9,13,2,0,33.5,54.5,56.8,8,2,2,258,64,63.2,60.0,6,0.0,6,2,2,4,2,33.3,14,71.4,21,14,2,0
69339,20210828,1900,6,13,EAG,6,ACA,1,1,52.8,50.8,50.0,11,4,8,420,63,79.5,65.7,15,20.0,8,3,2,2,6,37.5,16,50.0,14,13,0,0,47.2,49.2,50.0,19,2,5,374,60,74.9,62.7,15,33.3,8,4,1,3,5,50.0,29,72.4,13,17,0,0
69340,20210828,1900,6,16,ASNL,4,AJA,1,4,53.9,62.4,67.9,3,4,7,409,51,78.2,62.8,22,22.7,17,4,6,5,12,23.5,16,75.0,17,9,1,0,46.1,37.6,32.1,14,1,7,356,78,73.0,63.3,16,37.5,17,8,5,4,13,47.1,13,30.8,17,14,2,0
69342,20210828,1900,6,14,CNFC,17,ASC,0,0,51.2,50.4,27.3,9,0,6,463,60,80.6,62.6,16,25.0,17,6,4,6,11,35.3,24,50.0,10,7,2,0,48.8,49.6,72.7,8,0,6,443,80,79.0,60.1,16,12.5,7,0,4,4,3,0.0,27,63.0,15,8,1,0
69343,20210828,1900,6,5,PAUFC,18,DFCO,2,0,39.3,40.7,26.5,15,3,3,292,83,65.1,47.1,16,12.5,6,5,1,2,4,83.3,17,88.2,23,16,1,0,60.7,59.3,73.5,12,3,3,444,57,82.0,67.9,35,22.9,13,6,1,5,8,46.2,26,50.0,18,14,1,0
69344,20210828,1900,6,9,QRM,1,PFC,0,1,28.1,50.5,55.0,18,1,3,240,69,65.4,50.3,15,33.3,10,2,3,5,5,20.0,14,57.1,25,9,3,1,71.9,49.5,45.0,14,1,7,637,55,86.0,74.7,31,22.6,24,7,6,10,14,29.2,18,55.6,13,12,2,0
69345,20210828,1900,6,20,RAF,10,USLD,2,2,58.1,51.2,53.7,8,3,4,395,100,73.4,56.8,21,38.1,11,4,3,3,8,36.4,13,53.8,10,15,2,0,41.9,48.8,46.3,12,2,1,289,75,58.8,48.2,13,0.0,8,2,0,3,5,25.0,18,50.0,20,16,3,0
69346,20210828,1900,6,3,FCSM,19,GF38,1,0,49.9,46.8,43.2,11,2,4,455,76,75.8,61.5,16,37.5,10,3,2,5,5,30.0,14,50.0,14,10,2,0,50.1,53.2,56.8,18,1,0,460,59,77.0,60.4,8,12.5,5,0,2,3,2,0.0,17,35.3,8,15,1,0
69356,20210911,1500,7,1,PFC,13,EAG,0,1,51.8,45.7,47.8,9,2,8,458,55,83.6,71.1,29,31.0,18,11,4,6,12,61.1,22,59.1,6,17,0,0,48.2,54.3,52.2,17,4,1,438,58,81.7,64.2,13,7.7,5,2,1,2,3,40.0,24,58.3,17,12,0,0
69348,20210911,1900,7,6,ACA,3,FCSM,1,0,46.0,46.6,57.9,13,1,5,363,65,73.0,65.2,15,33.3,11,5,5,4,7,45.5,11,45.5,17,13,5,0,54.0,53.4,42.1,10,6,6,425,71,72.0,59.6,20,35.0,7,1,2,1,6,14.3,19,52.6,13,8,2,0
69349,20210911,1900,7,17,ASC,20,RAF,0,1,63.7,56.6,63.4,12,0,1,547,64,82.3,74.8,12,41.7,13,1,1,7,6,7.7,17,58.8,11,13,2,0,36.3,43.4,36.6,17,2,4,305,75,68.9,59.6,15,46.7,14,5,1,5,9,35.7,18,83.3,15,10,2,0
69350,20210911,1900,7,4,AJA,14,CNFC,4,0,60.7,51.9,57.1,10,3,6,608,71,84.7,69.0,18,16.7,13,6,2,4,9,46.2,17,52.9,14,10,0,0,39.3,48.1,42.9,12,3,2,384,56,76.3,61.6,14,28.6,13,5,4,6,7,38.5,13,61.5,20,6,0,0
69351,20210911,1900,7,2,SMC,5,PAUFC,1,2,53.0,51.3,58.6,6,0,5,456,42,84.6,75.7,22,31.8,16,6,1,9,7,37.5,16,68.8,12,12,1,0,47.0,48.7,41.4,11,0,6,408,56,82.4,64.6,18,22.2,10,5,1,5,5,50.0,25,60.0,21,13,2,0
69352,20210911,1900,7,18,DFCO,11,SCB,2,1,45.9,48.8,47.7,4,0,6,327,65,73.4,57.7,20,10.0,9,3,4,3,6,33.3,22,81.8,15,16,3,0,54.1,51.2,52.3,10,2,4,393,72,79.1,61.9,16,6.3,12,5,1,6,6,41.7,13,76.9,27,13,3,0
69353,20210911,1900,7,10,USLD,16,ASNL,0,0,59.2,52.1,51.2,6,0,6,393,46,73.0,65.3,25,20.0,19,3,4,8,11,15.8,25,56.0,9,25,3,0,40.8,47.9,48.8,6,2,3,280,70,66.8,56.0,9,33.3,12,6,1,4,8,50.0,18,61.1,13,23,2,1
