leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
11,BREST,RENNES,OM,ASSE,TOULOUSE FC,MONTPELLIER,PARIS SG,LOSC,BORDEAUX,OL,AJ AUXERRE,VAFC,FC LORIENT,SM CAEN,NANCY,FCSM,OGC NICE,AS MONACO,RC LENS,AC Arles-Avignon
12,RENNES,BREST,PARIS SG,OM,LOSC,ASSE,TOULOUSE FC,MONTPELLIER,FC LORIENT,BORDEAUX,OL,OGC NICE,AJ AUXERRE,VAFC,FCSM,SM CAEN,NANCY,AS MONACO,RC LENS,AC Arles-Avignon
13,BREST,LOSC,RENNES,MONTPELLIER,PARIS SG,OM,ASSE,BORDEAUX,OL,AJ AUXERRE,FC LORIENT,TOULOUSE FC,VAFC,OGC NICE,FCSM,AS MONACO,SM CAEN,RC LENS,NANCY,AC Arles-Avignon
14,LOSC,RENNES,MONTPELLIER,PARIS SG,OM,BREST,BORDEAUX,OL,ASSE,AJ AUXERRE,FCSM,FC LORIENT,TOULOUSE FC,NANCY,VAFC,OGC NICE,AS MONACO,SM CAEN,RC LENS,AC Arles-Avignon
15,OM,LOSC,BREST,PARIS SG,RENNES,MONTPELLIER,BORDEAUX,OL,FCSM,ASSE,FC LORIENT,TOULOUSE FC,AJ AUXERRE,VAFC,NANCY,OGC NICE,AS MONACO,SM CAEN,RC LENS,AC Arles-Avignon
16,LOSC,PARIS SG,RENNES,OM,OL,BREST,FCSM,BORDEAUX,TOULOUSE FC,MONTPELLIER,ASSE,FC LORIENT,AJ AUXERRE,OGC NICE,VAFC,NANCY,AS MONACO,RC LENS,SM CAEN,AC Arles-Avignon
17,LOSC,PARIS SG,OL,RENNES,OM,BREST,ASSE,BORDEAUX,MONTPELLIER,FCSM,FC LORIENT,TOULOUSE FC,NANCY,AJ AUXERRE,OGC NICE,VAFC,AS MONACO,SM CAEN,RC LENS,AC Arles-Avignon
18,LOSC,PARIS SG,RENNES,OL,OM,ASSE,BREST,TOULOUSE FC,BORDEAUX,MONTPELLIER,FCSM,FC LORIENT,AJ AUXERRE,OGC NICE,NANCY,VAFC,RC LENS,AS MONACO,SM CAEN,AC Arles-Avignon
19,LOSC,PARIS SG,RENNES,OL,OM,ASSE,BREST,BORDEAUX,TOULOUSE FC,MONTPELLIER,FCSM,FC LORIENT,NANCY,AJ AUXERRE,OGC NICE,VAFC,AS MONACO,RC LENS,SM CAEN,AC Arles-Avignon
20,LOSC,PARIS SG,RENNES,OL,OM,TOULOUSE FC,MONTPELLIER,ASSE,BREST,BORDEAUX,FCSM,FC LORIENT,NANCY,AJ AUXERRE,OGC NICE,VAFC,RC LENS,SM CAEN,AS MONACO,AC Arles-Avignon
21,LOSC,PARIS SG,OL,RENNES,OM,MONTPELLIER,ASSE,BORDEAUX,TOULOUSE FC,FCSM,BREST,FC LORIENT,VAFC,NANCY,AJ AUXERRE,SM CAEN,OGC NICE,RC LENS,AS MONACO,AC Arles-Avignon
22,LOSC,PARIS SG,RENNES,OM,ASSE,OL,TOULOUSE FC,MONTPELLIER,BORDEAUX,BREST,FC LORIENT,FCSM,VAFC,OGC NICE,AJ AUXERRE,NANCY,SM CAEN,RC LENS,AS MONACO,AC Arles-Avignon
23,LOSC,RENNES,OM,PARIS SG,OL,ASSE,MONTPELLIER,TOULOUSE FC,BORDEAUX,BREST,FC LORIENT,VAFC,FCSM,NANCY,SM CAEN,OGC NICE,AJ AUXERRE,AS MONACO,RC LENS,AC Arles-Avignon
24,LOSC,RENNES,OM,OL,PARIS SG,MONTPELLIER,ASSE,FC LORIENT,BREST,TOULOUSE FC,FCSM,BORDEAUX,VAFC,SM CAEN,NANCY,AJ AUXERRE,OGC NICE,AS MONACO,RC LENS,AC Arles-Avignon
25,LOSC,RENNES,OM,PARIS SG,OL,MONTPELLIER,ASSE,FC LORIENT,BREST,BORDEAUX,TOULOUSE FC,FCSM,VAFC,SM CAEN,OGC NICE,NANCY,AJ AUXERRE,AS MONACO,RC LENS,AC Arles-Avignon
26,LOSC,RENNES,OL,OM,PARIS SG,MONTPELLIER,BORDEAUX,FC LORIENT,FCSM,ASSE,BREST,TOULOUSE FC,VAFC,SM CAEN,OGC NICE,AJ AUXERRE,NANCY,AS MONACO,RC LENS,AC Arles-Avignon
27,LOSC,RENNES,OL,OM,PARIS SG,MONTPELLIER,ASSE,BORDEAUX,FC LORIENT,TOULOUSE FC,FCSM,BREST,OGC NICE,VAFC,SM CAEN,NANCY,AS MONACO,AJ AUXERRE,RC LENS,AC Arles-Avignon
28,LOSC,OM,RENNES,OL,PARIS SG,ASSE,MONTPELLIER,BORDEAUX,FC LORIENT,TOULOUSE FC,FCSM,BREST,SM CAEN,NANCY,OGC NICE,VAFC,AJ AUXERRE,AS MONACO,RC LENS,AC Arles-Avignon
29,LOSC,OM,RENNES,OL,PARIS SG,MONTPELLIER,ASSE,BORDEAUX,FC LORIENT,FCSM,TOULOUSE FC,NANCY,BREST,SM CAEN,OGC NICE,VAFC,AJ AUXERRE,AS MONACO,RC LENS,AC Arles-Avignon
30,LOSC,OM,OL,RENNES,PARIS SG,MONTPELLIER,ASSE,BORDEAUX,FC LORIENT,FCSM,TOULOUSE FC,BREST,NANCY,OGC NICE,VAFC,AS MONACO,SM CAEN,AJ AUXERRE,RC LENS,AC Arles-Avignon
31,LOSC,OM,OL,PARIS SG,RENNES,ASSE,FC LORIENT,MONTPELLIER,FCSM,BORDEAUX,BREST,OGC NICE,VAFC,TOULOUSE FC,AJ AUXERRE,NANCY,AS MONACO,SM CAEN,RC LENS,AC Arles-Avignon
32,OM,LOSC,OL,PARIS SG,RENNES,BORDEAUX,FC LORIENT,ASSE,FCSM,MONTPELLIER,BREST,VAFC,TOULOUSE FC,OGC NICE,AS MONACO,AJ AUXERRE,NANCY,SM CAEN,RC LENS,AC Arles-Avignon
33,LOSC,OM,OL,PARIS SG,RENNES,FC LORIENT,FCSM,BORDEAUX,ASSE,MONTPELLIER,TOULOUSE FC,BREST,VAFC,AS MONACO,AJ AUXERRE,SM CAEN,OGC NICE,NANCY,RC LENS,AC Arles-Avignon
34,LOSC,OM,OL,PARIS SG,RENNES,FCSM,FC LORIENT,ASSE,BORDEAUX,MONTPELLIER,TOULOUSE FC,VAFC,AJ AUXERRE,BREST,AS MONACO,SM CAEN,OGC NICE,NANCY,RC LENS,AC Arles-Avignon
35,LOSC,OM,OL,PARIS SG,RENNES,FCSM,FC LORIENT,ASSE,MONTPELLIER,AJ AUXERRE,BORDEAUX,TOULOUSE FC,VAFC,OGC NICE,BREST,SM CAEN,AS MONACO,NANCY,RC LENS,AC Arles-Avignon
36,LOSC,OM,OL,PARIS SG,RENNES,FCSM,FC LORIENT,BORDEAUX,ASSE,MONTPELLIER,AJ AUXERRE,VAFC,TOULOUSE FC,SM CAEN,BREST,OGC NICE,NANCY,AS MONACO,RC LENS,AC Arles-Avignon
37,LOSC,OM,OL,PARIS SG,RENNES,FCSM,FC LORIENT,ASSE,BORDEAUX,TOULOUSE FC,MONTPELLIER,AJ AUXERRE,BREST,OGC NICE,VAFC,SM CAEN,NANCY,AS MONACO,RC LENS,AC Arles-Avignon
38,LOSC,OM,OL,PARIS SG,FCSM,RENNES,BORDEAUX,TOULOUSE FC,AJ AUXERRE,ASSE,FC LORIENT,VAFC,NANCY,MONTPELLIER,SM CAEN,BREST,OGC NICE,AS MONACO,RC LENS,AC Arles-Avignon
