leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
11,PARIS SG,FC NANTES,LOSC,REIMS,BREST,ANGERS SCO,OM,BORDEAUX,RENNES,MONTPELLIER,AS MONACO,ASSE,OL,AMIENS SC,OGC NICE,STRASBOURG,TOULOUSE FC,NÎMES,FC METZ,DIJON FCO
12,PARIS SG,ANGERS SCO,FC NANTES,OM,LOSC,BORDEAUX,REIMS,RENNES,ASSE,BREST,OL,MONTPELLIER,AMIENS SC,OGC NICE,AS MONACO,DIJON FCO,STRASBOURG,TOULOUSE FC,FC METZ,NÎMES
13,PARIS SG,OM,RENNES,ANGERS SCO,ASSE,LOSC,MONTPELLIER,BORDEAUX,REIMS,FC NANTES,AS MONACO,BREST,OGC NICE,OL,AMIENS SC,STRASBOURG,FC METZ,DIJON FCO,TOULOUSE FC,NÎMES
14,PARIS SG,OM,ANGERS SCO,BORDEAUX,ASSE,RENNES,MONTPELLIER,REIMS,FC NANTES,OL,LOSC,STRASBOURG,BREST,AS MONACO,OGC NICE,AMIENS SC,DIJON FCO,FC METZ,TOULOUSE FC,NÎMES
15,PARIS SG,OM,RENNES,ANGERS SCO,MONTPELLIER,BORDEAUX,FC NANTES,OL,LOSC,ASSE,REIMS,OGC NICE,STRASBOURG,BREST,AS MONACO,AMIENS SC,FC METZ,DIJON FCO,NÎMES,TOULOUSE FC
16,PARIS SG,OM,RENNES,BORDEAUX,LOSC,ASSE,MONTPELLIER,ANGERS SCO,FC NANTES,OL,REIMS,BREST,AS MONACO,OGC NICE,STRASBOURG,AMIENS SC,DIJON FCO,FC METZ,NÎMES,TOULOUSE FC
17,PARIS SG,OM,RENNES,LOSC,BORDEAUX,FC NANTES,OL,REIMS,ASSE,MONTPELLIER,AS MONACO,ANGERS SCO,OGC NICE,BREST,STRASBOURG,AMIENS SC,DIJON FCO,FC METZ,TOULOUSE FC,NÎMES
18,PARIS SG,OM,RENNES,LOSC,FC NANTES,REIMS,BORDEAUX,OL,AS MONACO,ANGERS SCO,ASSE,MONTPELLIER,STRASBOURG,OGC NICE,BREST,AMIENS SC,DIJON FCO,FC METZ,TOULOUSE FC,NÎMES
19,PARIS SG,OM,RENNES,LOSC,REIMS,FC NANTES,AS MONACO,ANGERS SCO,MONTPELLIER,OGC NICE,STRASBOURG,OL,BORDEAUX,ASSE,BREST,DIJON FCO,AMIENS SC,FC METZ,NÎMES,TOULOUSE FC
20,PARIS SG,OM,RENNES,FC NANTES,LOSC,MONTPELLIER,OL,REIMS,AS MONACO,ANGERS SCO,OGC NICE,STRASBOURG,BORDEAUX,BREST,ASSE,DIJON FCO,FC METZ,AMIENS SC,NÎMES,TOULOUSE FC
21,PARIS SG,OM,RENNES,MONTPELLIER,OL,FC NANTES,LOSC,STRASBOURG,ANGERS SCO,BORDEAUX,REIMS,OGC NICE,AS MONACO,BREST,ASSE,FC METZ,DIJON FCO,AMIENS SC,NÎMES,TOULOUSE FC
22,PARIS SG,OM,RENNES,LOSC,MONTPELLIER,OL,REIMS,OGC NICE,FC NANTES,BORDEAUX,STRASBOURG,ANGERS SCO,AS MONACO,BREST,ASSE,FC METZ,DIJON FCO,AMIENS SC,NÎMES,TOULOUSE FC
23,PARIS SG,OM,RENNES,LOSC,MONTPELLIER,OL,REIMS,OGC NICE,STRASBOURG,AS MONACO,FC NANTES,BORDEAUX,ANGERS SCO,BREST,ASSE,FC METZ,DIJON FCO,NÎMES,AMIENS SC,TOULOUSE FC
24,PARIS SG,OM,RENNES,LOSC,MONTPELLIER,STRASBOURG,AS MONACO,BORDEAUX,OL,REIMS,OGC NICE,FC NANTES,BREST,ANGERS SCO,ASSE,FC METZ,DIJON FCO,NÎMES,AMIENS SC,TOULOUSE FC
25,PARIS SG,OM,RENNES,LOSC,AS MONACO,MONTPELLIER,STRASBOURG,REIMS,OGC NICE,BORDEAUX,OL,FC NANTES,BREST,ANGERS SCO,FC METZ,ASSE,NÎMES,DIJON FCO,AMIENS SC,TOULOUSE FC
26,PARIS SG,OM,RENNES,LOSC,AS MONACO,STRASBOURG,OL,REIMS,MONTPELLIER,OGC NICE,FC NANTES,BORDEAUX,BREST,ANGERS SCO,ASSE,FC METZ,DIJON FCO,NÎMES,AMIENS SC,TOULOUSE FC
27,PARIS SG,OM,RENNES,LOSC,OL,MONTPELLIER,AS MONACO,REIMS,OGC NICE,STRASBOURG,FC NANTES,BORDEAUX,ANGERS SCO,BREST,FC METZ,ASSE,DIJON FCO,NÎMES,AMIENS SC,TOULOUSE FC
28,PARIS SG,OM,RENNES,LOSC,OGC NICE,REIMS,OL,MONTPELLIER,AS MONACO,STRASBOURG,ANGERS SCO,BORDEAUX,FC NANTES,BREST,FC METZ,DIJON FCO,ASSE,NÎMES,AMIENS SC,TOULOUSE FC
