leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
17,PARIS SG,RENNES,OM,OGC NICE,RC LENS,STRASBOURG,AS MONACO,ANGERS SCO,MONTPELLIER,OL,BREST,LOSC,FC NANTES,REIMS,TROYES,FC LORIENT,BORDEAUX,CLERMONT,FC METZ,ASSE
18,PARIS SG,OM,RENNES,OGC NICE,MONTPELLIER,RC LENS,STRASBOURG,AS MONACO,OL,ANGERS SCO,FC NANTES,LOSC,BREST,REIMS,BORDEAUX,CLERMONT,TROYES,FC METZ,FC LORIENT,ASSE
19,PARIS SG,OGC NICE,OM,RENNES,MONTPELLIER,STRASBOURG,AS MONACO,FC NANTES,LOSC,RC LENS,OL,ANGERS SCO,BREST,REIMS,TROYES,BORDEAUX,CLERMONT,FC METZ,FC LORIENT,ASSE
20,PARIS SG,OGC NICE,OM,STRASBOURG,RENNES,MONTPELLIER,LOSC,RC LENS,AS MONACO,FC NANTES,OL,ANGERS SCO,BREST,REIMS,TROYES,CLERMONT,BORDEAUX,FC METZ,FC LORIENT,ASSE
21,PARIS SG,OGC NICE,OM,STRASBOURG,RENNES,AS MONACO,RC LENS,LOSC,MONTPELLIER,OL,FC NANTES,ANGERS SCO,BREST,REIMS,TROYES,FC METZ,CLERMONT,FC LORIENT,BORDEAUX,ASSE
22,PARIS SG,OGC NICE,OM,STRASBOURG,RENNES,MONTPELLIER,OL,AS MONACO,RC LENS,FC NANTES,LOSC,ANGERS SCO,BREST,REIMS,CLERMONT,TROYES,BORDEAUX,FC METZ,FC LORIENT,ASSE
23,PARIS SG,OM,OGC NICE,STRASBOURG,RENNES,AS MONACO,MONTPELLIER,OL,RC LENS,FC NANTES,LOSC,ANGERS SCO,BREST,REIMS,CLERMONT,TROYES,FC LORIENT,FC METZ,BORDEAUX,ASSE
24,PARIS SG,OM,OGC NICE,STRASBOURG,RENNES,AS MONACO,OL,RC LENS,FC NANTES,LOSC,MONTPELLIER,BREST,ANGERS SCO,REIMS,CLERMONT,TROYES,FC LORIENT,ASSE,FC METZ,BORDEAUX
25,PARIS SG,OM,OGC NICE,STRASBOURG,RENNES,AS MONACO,FC NANTES,OL,MONTPELLIER,RC LENS,LOSC,BREST,ANGERS SCO,REIMS,CLERMONT,ASSE,TROYES,FC LORIENT,FC METZ,BORDEAUX
26,PARIS SG,OM,OGC NICE,RENNES,STRASBOURG,RC LENS,FC NANTES,LOSC,AS MONACO,OL,MONTPELLIER,BREST,REIMS,ANGERS SCO,CLERMONT,FC LORIENT,TROYES,FC METZ,ASSE,BORDEAUX
27,PARIS SG,OGC NICE,OM,RENNES,STRASBOURG,FC NANTES,LOSC,AS MONACO,OL,RC LENS,MONTPELLIER,BREST,REIMS,ANGERS SCO,CLERMONT,TROYES,ASSE,FC LORIENT,FC METZ,BORDEAUX
28,PARIS SG,OM,OGC NICE,RENNES,STRASBOURG,LOSC,FC NANTES,AS MONACO,RC LENS,OL,MONTPELLIER,REIMS,BREST,ANGERS SCO,TROYES,CLERMONT,FC LORIENT,ASSE,FC METZ,BORDEAUX
29,PARIS SG,OM,RENNES,OGC NICE,STRASBOURG,LOSC,AS MONACO,RC LENS,FC NANTES,OL,MONTPELLIER,REIMS,BREST,ANGERS SCO,TROYES,FC LORIENT,CLERMONT,ASSE,FC METZ,BORDEAUX
30,PARIS SG,OM,RENNES,OGC NICE,STRASBOURG,LOSC,AS MONACO,RC LENS,FC NANTES,OL,MONTPELLIER,REIMS,BREST,ANGERS SCO,TROYES,FC LORIENT,CLERMONT,ASSE,FC METZ,BORDEAUX
