leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
12,PARIS SG,OL,ANGERS SCO,ASSE,SM CAEN,AS MONACO,FC NANTES,OGC NICE,FC LORIENT,RENNES,EA GUINGAMP,OM,REIMS,BORDEAUX,SC BASTIA,LOSC,MONTPELLIER,GAZ. AJACCIO,TOULOUSE FC,TROYES
13,PARIS SG,OL,SM CAEN,ANGERS SCO,ASSE,OGC NICE,FC LORIENT,RENNES,AS MONACO,FC NANTES,BORDEAUX,EA GUINGAMP,OM,REIMS,SC BASTIA,LOSC,MONTPELLIER,GAZ. AJACCIO,TOULOUSE FC,TROYES
14,PARIS SG,OL,SM CAEN,OGC NICE,ANGERS SCO,AS MONACO,ASSE,RENNES,FC LORIENT,EA GUINGAMP,FC NANTES,OM,BORDEAUX,MONTPELLIER,REIMS,GAZ. AJACCIO,LOSC,SC BASTIA,TOULOUSE FC,TROYES
15,PARIS SG,SM CAEN,ANGERS SCO,OL,ASSE,OGC NICE,AS MONACO,RENNES,FC LORIENT,FC NANTES,OM,EA GUINGAMP,MONTPELLIER,BORDEAUX,REIMS,GAZ. AJACCIO,SC BASTIA,LOSC,TOULOUSE FC,TROYES
16,PARIS SG,SM CAEN,ANGERS SCO,OL,OGC NICE,AS MONACO,ASSE,OM,FC LORIENT,RENNES,FC NANTES,REIMS,GAZ. AJACCIO,EA GUINGAMP,MONTPELLIER,SC BASTIA,BORDEAUX,LOSC,TOULOUSE FC,TROYES
17,PARIS SG,ANGERS SCO,SM CAEN,AS MONACO,OL,ASSE,OGC NICE,FC LORIENT,OM,RENNES,FC NANTES,BORDEAUX,LOSC,REIMS,GAZ. AJACCIO,MONTPELLIER,EA GUINGAMP,SC BASTIA,TOULOUSE FC,TROYES
18,PARIS SG,ANGERS SCO,AS MONACO,SM CAEN,OGC NICE,OL,ASSE,FC LORIENT,OM,RENNES,LOSC,FC NANTES,MONTPELLIER,BORDEAUX,REIMS,GAZ. AJACCIO,SC BASTIA,EA GUINGAMP,TOULOUSE FC,TROYES
19,PARIS SG,AS MONACO,ANGERS SCO,SM CAEN,OGC NICE,ASSE,RENNES,FC LORIENT,OL,OM,LOSC,GAZ. AJACCIO,FC NANTES,BORDEAUX,MONTPELLIER,SC BASTIA,REIMS,EA GUINGAMP,TOULOUSE FC,TROYES
20,PARIS SG,ANGERS SCO,AS MONACO,OGC NICE,SM CAEN,OL,ASSE,RENNES,FC LORIENT,FC NANTES,OM,BORDEAUX,LOSC,GAZ. AJACCIO,MONTPELLIER,SC BASTIA,REIMS,TOULOUSE FC,EA GUINGAMP,TROYES
21,PARIS SG,AS MONACO,ANGERS SCO,OGC NICE,ASSE,RENNES,SM CAEN,OM,OL,BORDEAUX,FC NANTES,FC LORIENT,GAZ. AJACCIO,LOSC,SC BASTIA,MONTPELLIER,REIMS,EA GUINGAMP,TOULOUSE FC,TROYES
22,PARIS SG,AS MONACO,OGC NICE,RENNES,ANGERS SCO,ASSE,SM CAEN,OM,OL,BORDEAUX,FC NANTES,FC LORIENT,GAZ. AJACCIO,LOSC,SC BASTIA,EA GUINGAMP,REIMS,MONTPELLIER,TOULOUSE FC,TROYES
23,PARIS SG,AS MONACO,ANGERS SCO,OGC NICE,SM CAEN,RENNES,BORDEAUX,ASSE,FC NANTES,OM,OL,FC LORIENT,SC BASTIA,EA GUINGAMP,LOSC,GAZ. AJACCIO,MONTPELLIER,REIMS,TOULOUSE FC,TROYES
24,PARIS SG,AS MONACO,OGC NICE,ANGERS SCO,ASSE,SM CAEN,FC NANTES,OM,RENNES,OL,BORDEAUX,FC LORIENT,EA GUINGAMP,LOSC,SC BASTIA,REIMS,GAZ. AJACCIO,MONTPELLIER,TOULOUSE FC,TROYES
25,PARIS SG,AS MONACO,OGC NICE,ASSE,ANGERS SCO,OL,FC NANTES,SM CAEN,RENNES,OM,BORDEAUX,FC LORIENT,EA GUINGAMP,SC BASTIA,LOSC,REIMS,GAZ. AJACCIO,MONTPELLIER,TOULOUSE FC,TROYES
26,PARIS SG,AS MONACO,OGC NICE,ASSE,OL,FC NANTES,RENNES,ANGERS SCO,BORDEAUX,SM CAEN,OM,SC BASTIA,LOSC,FC LORIENT,EA GUINGAMP,MONTPELLIER,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
27,PARIS SG,AS MONACO,OGC NICE,ASSE,FC NANTES,OL,SM CAEN,RENNES,ANGERS SCO,BORDEAUX,OM,SC BASTIA,LOSC,FC LORIENT,MONTPELLIER,EA GUINGAMP,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
28,PARIS SG,AS MONACO,OL,SM CAEN,OGC NICE,RENNES,FC NANTES,ASSE,ANGERS SCO,SC BASTIA,OM,FC LORIENT,BORDEAUX,MONTPELLIER,LOSC,EA GUINGAMP,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
29,PARIS SG,AS MONACO,OL,OGC NICE,RENNES,SM CAEN,ASSE,FC NANTES,ANGERS SCO,SC BASTIA,OM,FC LORIENT,BORDEAUX,LOSC,MONTPELLIER,REIMS,EA GUINGAMP,GAZ. AJACCIO,TOULOUSE FC,TROYES
30,PARIS SG,AS MONACO,OGC NICE,OL,RENNES,FC NANTES,SM CAEN,ASSE,LOSC,OM,FC LORIENT,ANGERS SCO,SC BASTIA,BORDEAUX,MONTPELLIER,EA GUINGAMP,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
31,PARIS SG,AS MONACO,OGC NICE,OL,RENNES,SM CAEN,ASSE,FC NANTES,LOSC,ANGERS SCO,SC BASTIA,OM,FC LORIENT,BORDEAUX,EA GUINGAMP,MONTPELLIER,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
32,PARIS SG,AS MONACO,OL,RENNES,OGC NICE,ASSE,LOSC,SM CAEN,ANGERS SCO,FC NANTES,SC BASTIA,BORDEAUX,OM,FC LORIENT,EA GUINGAMP,MONTPELLIER,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
33,PARIS SG,OL,AS MONACO,OGC NICE,RENNES,ASSE,LOSC,ANGERS SCO,SM CAEN,FC NANTES,SC BASTIA,BORDEAUX,FC LORIENT,OM,EA GUINGAMP,MONTPELLIER,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
34,PARIS SG,AS MONACO,OL,OGC NICE,ASSE,LOSC,RENNES,ANGERS SCO,SM CAEN,FC NANTES,FC LORIENT,SC BASTIA,BORDEAUX,EA GUINGAMP,OM,MONTPELLIER,REIMS,GAZ. AJACCIO,TOULOUSE FC,TROYES
35,PARIS SG,OL,AS MONACO,OGC NICE,ASSE,LOSC,RENNES,ANGERS SCO,SM CAEN,FC NANTES,BORDEAUX,MONTPELLIER,EA GUINGAMP,FC LORIENT,SC BASTIA,OM,GAZ. AJACCIO,REIMS,TOULOUSE FC,TROYES
36,PARIS SG,OL,AS MONACO,ASSE,OGC NICE,LOSC,RENNES,ANGERS SCO,FC NANTES,SM CAEN,BORDEAUX,MONTPELLIER,OM,SC BASTIA,EA GUINGAMP,FC LORIENT,GAZ. AJACCIO,REIMS,TOULOUSE FC,TROYES
37,PARIS SG,OL,AS MONACO,OGC NICE,ASSE,LOSC,RENNES,SM CAEN,ANGERS SCO,BORDEAUX,MONTPELLIER,FC NANTES,OM,SC BASTIA,EA GUINGAMP,FC LORIENT,TOULOUSE FC,GAZ. AJACCIO,REIMS,TROYES
38,PARIS SG,OL,AS MONACO,OGC NICE,LOSC,ASSE,SM CAEN,RENNES,ANGERS SCO,SC BASTIA,BORDEAUX,MONTPELLIER,OM,FC NANTES,FC LORIENT,EA GUINGAMP,TOULOUSE FC,REIMS,GAZ. AJACCIO,TROYES
