leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
12,PARIS FC,TROYES,GRENOBLE,SM CAEN,CLERMONT,AJ AUXERRE,TOULOUSE FC,NIORT,FCSM,USL DUNKERQUE,VAFC,HAVRE AC,EA GUINGAMP,AMIENS SC,CHÂTEAUROUX,AC AJACCIO,NANCY,RODEZ AF,PAU FC,FC CHAMBLY
13,TROYES,PARIS FC,GRENOBLE,TOULOUSE FC,AJ AUXERRE,NIORT,SM CAEN,CLERMONT,FCSM,VAFC,USL DUNKERQUE,HAVRE AC,AMIENS SC,EA GUINGAMP,PAU FC,AC AJACCIO,CHÂTEAUROUX,NANCY,RODEZ AF,FC CHAMBLY
14,TROYES,GRENOBLE,PARIS FC,AJ AUXERRE,CLERMONT,TOULOUSE FC,SM CAEN,NIORT,VAFC,USL DUNKERQUE,FCSM,AMIENS SC,HAVRE AC,EA GUINGAMP,AC AJACCIO,PAU FC,NANCY,CHÂTEAUROUX,RODEZ AF,FC CHAMBLY
15,TROYES,GRENOBLE,PARIS FC,TOULOUSE FC,AJ AUXERRE,CLERMONT,NIORT,SM CAEN,VAFC,FCSM,USL DUNKERQUE,AMIENS SC,HAVRE AC,EA GUINGAMP,PAU FC,AC AJACCIO,NANCY,CHÂTEAUROUX,RODEZ AF,FC CHAMBLY
16,TROYES,GRENOBLE,TOULOUSE FC,AJ AUXERRE,PARIS FC,CLERMONT,SM CAEN,NIORT,AMIENS SC,FCSM,VAFC,USL DUNKERQUE,HAVRE AC,AC AJACCIO,EA GUINGAMP,FC CHAMBLY,PAU FC,NANCY,CHÂTEAUROUX,RODEZ AF
17,GRENOBLE,TROYES,TOULOUSE FC,AJ AUXERRE,PARIS FC,CLERMONT,SM CAEN,FCSM,VAFC,NIORT,AMIENS SC,USL DUNKERQUE,HAVRE AC,AC AJACCIO,EA GUINGAMP,FC CHAMBLY,NANCY,PAU FC,RODEZ AF,CHÂTEAUROUX
18,TROYES,TOULOUSE FC,GRENOBLE,CLERMONT,AJ AUXERRE,PARIS FC,FCSM,SM CAEN,NIORT,AMIENS SC,VAFC,HAVRE AC,AC AJACCIO,USL DUNKERQUE,NANCY,EA GUINGAMP,FC CHAMBLY,RODEZ AF,PAU FC,CHÂTEAUROUX
19,TROYES,TOULOUSE FC,GRENOBLE,CLERMONT,AJ AUXERRE,PARIS FC,FCSM,SM CAEN,AMIENS SC,VAFC,NIORT,HAVRE AC,AC AJACCIO,USL DUNKERQUE,EA GUINGAMP,FC CHAMBLY,NANCY,RODEZ AF,PAU FC,CHÂTEAUROUX
20,TROYES,TOULOUSE FC,CLERMONT,AJ AUXERRE,GRENOBLE,PARIS FC,VAFC,FCSM,AMIENS SC,SM CAEN,NIORT,AC AJACCIO,HAVRE AC,EA GUINGAMP,USL DUNKERQUE,FC CHAMBLY,NANCY,RODEZ AF,PAU FC,CHÂTEAUROUX
21,TROYES,TOULOUSE FC,CLERMONT,GRENOBLE,AJ AUXERRE,PARIS FC,VAFC,FCSM,AMIENS SC,SM CAEN,NIORT,HAVRE AC,AC AJACCIO,USL DUNKERQUE,EA GUINGAMP,RODEZ AF,NANCY,FC CHAMBLY,CHÂTEAUROUX,PAU FC
22,TROYES,TOULOUSE FC,CLERMONT,GRENOBLE,AJ AUXERRE,PARIS FC,VAFC,AMIENS SC,FCSM,SM CAEN,AC AJACCIO,NIORT,HAVRE AC,USL DUNKERQUE,FC CHAMBLY,RODEZ AF,EA GUINGAMP,NANCY,PAU FC,CHÂTEAUROUX
23,TROYES,TOULOUSE FC,CLERMONT,GRENOBLE,AJ AUXERRE,PARIS FC,VAFC,AMIENS SC,AC AJACCIO,FCSM,SM CAEN,NIORT,HAVRE AC,USL DUNKERQUE,RODEZ AF,FC CHAMBLY,NANCY,EA GUINGAMP,PAU FC,CHÂTEAUROUX
24,TROYES,TOULOUSE FC,GRENOBLE,CLERMONT,AJ AUXERRE,PARIS FC,VAFC,FCSM,AMIENS SC,AC AJACCIO,SM CAEN,HAVRE AC,NIORT,RODEZ AF,USL DUNKERQUE,NANCY,EA GUINGAMP,FC CHAMBLY,PAU FC,CHÂTEAUROUX
25,TROYES,TOULOUSE FC,CLERMONT,GRENOBLE,AJ AUXERRE,PARIS FC,FCSM,VAFC,AMIENS SC,SM CAEN,HAVRE AC,AC AJACCIO,NIORT,NANCY,RODEZ AF,USL DUNKERQUE,EA GUINGAMP,FC CHAMBLY,PAU FC,CHÂTEAUROUX
26,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,AJ AUXERRE,PARIS FC,FCSM,VAFC,SM CAEN,HAVRE AC,AMIENS SC,NIORT,AC AJACCIO,RODEZ AF,NANCY,USL DUNKERQUE,EA GUINGAMP,FC CHAMBLY,PAU FC,CHÂTEAUROUX
27,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,AJ AUXERRE,PARIS FC,FCSM,VAFC,SM CAEN,HAVRE AC,NIORT,AMIENS SC,RODEZ AF,AC AJACCIO,NANCY,USL DUNKERQUE,EA GUINGAMP,PAU FC,FC CHAMBLY,CHÂTEAUROUX
28,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,VAFC,AC AJACCIO,NANCY,AMIENS SC,SM CAEN,HAVRE AC,NIORT,RODEZ AF,USL DUNKERQUE,PAU FC,EA GUINGAMP,FC CHAMBLY,CHÂTEAUROUX
29,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,VAFC,NANCY,HAVRE AC,RODEZ AF,AC AJACCIO,AMIENS SC,SM CAEN,NIORT,USL DUNKERQUE,EA GUINGAMP,PAU FC,FC CHAMBLY,CHÂTEAUROUX
30,CLERMONT,TROYES,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,NANCY,VAFC,RODEZ AF,AMIENS SC,HAVRE AC,NIORT,SM CAEN,AC AJACCIO,PAU FC,USL DUNKERQUE,EA GUINGAMP,FC CHAMBLY,CHÂTEAUROUX
31,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,NANCY,VAFC,RODEZ AF,AMIENS SC,AC AJACCIO,HAVRE AC,NIORT,SM CAEN,PAU FC,USL DUNKERQUE,EA GUINGAMP,FC CHAMBLY,CHÂTEAUROUX
32,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,VAFC,NANCY,AMIENS SC,AC AJACCIO,HAVRE AC,RODEZ AF,NIORT,SM CAEN,PAU FC,USL DUNKERQUE,EA GUINGAMP,FC CHAMBLY,CHÂTEAUROUX
33,TROYES,TOULOUSE FC,CLERMONT,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,VAFC,AC AJACCIO,NANCY,AMIENS SC,HAVRE AC,RODEZ AF,NIORT,PAU FC,USL DUNKERQUE,SM CAEN,EA GUINGAMP,FC CHAMBLY,CHÂTEAUROUX
34,TROYES,TOULOUSE FC,CLERMONT,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,NANCY,AMIENS SC,VAFC,AC AJACCIO,RODEZ AF,HAVRE AC,PAU FC,NIORT,EA GUINGAMP,USL DUNKERQUE,SM CAEN,FC CHAMBLY,CHÂTEAUROUX
35,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,AJ AUXERRE,PARIS FC,FCSM,NANCY,AMIENS SC,VAFC,AC AJACCIO,RODEZ AF,HAVRE AC,PAU FC,NIORT,EA GUINGAMP,USL DUNKERQUE,SM CAEN,FC CHAMBLY,CHÂTEAUROUX
36,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,VAFC,NANCY,AMIENS SC,AC AJACCIO,RODEZ AF,EA GUINGAMP,PAU FC,HAVRE AC,USL DUNKERQUE,NIORT,SM CAEN,FC CHAMBLY,CHÂTEAUROUX
37,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,VAFC,NANCY,AMIENS SC,AC AJACCIO,EA GUINGAMP,HAVRE AC,RODEZ AF,PAU FC,NIORT,USL DUNKERQUE,SM CAEN,FC CHAMBLY,CHÂTEAUROUX
38,TROYES,CLERMONT,TOULOUSE FC,GRENOBLE,PARIS FC,AJ AUXERRE,FCSM,NANCY,EA GUINGAMP,AMIENS SC,VAFC,HAVRE AC,AC AJACCIO,PAU FC,RODEZ AF,USL DUNKERQUE,SM CAEN,NIORT,FC CHAMBLY,CHÂTEAUROUX
