leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
26,PARIS SG,LOSC,OL,ASSE,OM,REIMS,MONTPELLIER,STRASBOURG,RENNES,OGC NICE,NÎMES,ANGERS SCO,BORDEAUX,FC NANTES,TOULOUSE FC,AS MONACO,AMIENS SC,SM CAEN,DIJON FCO,EA GUINGAMP
27,PARIS SG,LOSC,OL,OM,ASSE,REIMS,MONTPELLIER,OGC NICE,NÎMES,STRASBOURG,RENNES,ANGERS SCO,BORDEAUX,FC NANTES,TOULOUSE FC,AS MONACO,AMIENS SC,SM CAEN,DIJON FCO,EA GUINGAMP
28,PARIS SG,LOSC,OL,OM,REIMS,ASSE,MONTPELLIER,RENNES,OGC NICE,NÎMES,STRASBOURG,ANGERS SCO,FC NANTES,BORDEAUX,TOULOUSE FC,AMIENS SC,AS MONACO,DIJON FCO,SM CAEN,EA GUINGAMP
29,PARIS SG,LOSC,OL,OM,ASSE,REIMS,MONTPELLIER,RENNES,OGC NICE,NÎMES,STRASBOURG,ANGERS SCO,BORDEAUX,FC NANTES,TOULOUSE FC,AS MONACO,AMIENS SC,EA GUINGAMP,DIJON FCO,SM CAEN
30,PARIS SG,LOSC,OL,ASSE,OM,REIMS,MONTPELLIER,OGC NICE,STRASBOURG,RENNES,NÎMES,ANGERS SCO,BORDEAUX,FC NANTES,TOULOUSE FC,AS MONACO,AMIENS SC,SM CAEN,EA GUINGAMP,DIJON FCO
31,PARIS SG,LOSC,OL,ASSE,OM,REIMS,OGC NICE,MONTPELLIER,STRASBOURG,NÎMES,RENNES,ANGERS SCO,BORDEAUX,TOULOUSE FC,FC NANTES,AS MONACO,AMIENS SC,DIJON FCO,SM CAEN,EA GUINGAMP
32,PARIS SG,LOSC,OL,ASSE,OM,MONTPELLIER,REIMS,OGC NICE,STRASBOURG,RENNES,NÎMES,ANGERS SCO,BORDEAUX,FC NANTES,TOULOUSE FC,AS MONACO,AMIENS SC,DIJON FCO,EA GUINGAMP,SM CAEN
33,PARIS SG,LOSC,OL,ASSE,OM,MONTPELLIER,REIMS,OGC NICE,NÎMES,STRASBOURG,RENNES,ANGERS SCO,FC NANTES,BORDEAUX,TOULOUSE FC,AS MONACO,AMIENS SC,DIJON FCO,SM CAEN,EA GUINGAMP
34,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,OM,OGC NICE,REIMS,NÎMES,STRASBOURG,RENNES,FC NANTES,ANGERS SCO,BORDEAUX,TOULOUSE FC,AS MONACO,AMIENS SC,SM CAEN,DIJON FCO,EA GUINGAMP
35,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,OM,OGC NICE,NÎMES,REIMS,STRASBOURG,FC NANTES,ANGERS SCO,RENNES,BORDEAUX,TOULOUSE FC,AMIENS SC,AS MONACO,SM CAEN,DIJON FCO,EA GUINGAMP
36,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,OM,OGC NICE,NÎMES,REIMS,FC NANTES,STRASBOURG,RENNES,ANGERS SCO,BORDEAUX,TOULOUSE FC,AMIENS SC,AS MONACO,SM CAEN,DIJON FCO,EA GUINGAMP
37,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,OM,NÎMES,OGC NICE,REIMS,RENNES,FC NANTES,STRASBOURG,ANGERS SCO,BORDEAUX,TOULOUSE FC,AS MONACO,AMIENS SC,SM CAEN,DIJON FCO,EA GUINGAMP
38,PARIS SG,LOSC,OL,ASSE,OM,MONTPELLIER,OGC NICE,REIMS,NÎMES,RENNES,STRASBOURG,FC NANTES,ANGERS SCO,BORDEAUX,AMIENS SC,TOULOUSE FC,AS MONACO,DIJON FCO,SM CAEN,EA GUINGAMP
