leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
26,PARIS SG,MONTPELLIER,LOSC,RENNES,ASSE,TOULOUSE FC,OL,OM,BORDEAUX,Evian TG,VAFC,BREST,SM CAEN,FC LORIENT,DIJON FCO,OGC NICE,NANCY,AC AJACCIO,AJ AUXERRE,FCSM
27,PARIS SG,MONTPELLIER,LOSC,ASSE,RENNES,TOULOUSE FC,OL,OM,BORDEAUX,Evian TG,VAFC,BREST,AC AJACCIO,SM CAEN,FC LORIENT,OGC NICE,NANCY,DIJON FCO,AJ AUXERRE,FCSM
28,PARIS SG,MONTPELLIER,LOSC,TOULOUSE FC,OL,ASSE,RENNES,BORDEAUX,OM,Evian TG,VAFC,FC LORIENT,BREST,NANCY,DIJON FCO,AC AJACCIO,SM CAEN,OGC NICE,FCSM,AJ AUXERRE
29,MONTPELLIER,PARIS SG,LOSC,TOULOUSE FC,OL,ASSE,RENNES,BORDEAUX,OM,Evian TG,VAFC,NANCY,DIJON FCO,FC LORIENT,AC AJACCIO,BREST,SM CAEN,OGC NICE,FCSM,AJ AUXERRE
30,MONTPELLIER,PARIS SG,LOSC,OL,TOULOUSE FC,ASSE,RENNES,BORDEAUX,OM,Evian TG,NANCY,VAFC,DIJON FCO,FC LORIENT,AC AJACCIO,OGC NICE,BREST,SM CAEN,FCSM,AJ AUXERRE
31,MONTPELLIER,PARIS SG,LOSC,OL,TOULOUSE FC,RENNES,ASSE,BORDEAUX,OM,Evian TG,NANCY,VAFC,OGC NICE,DIJON FCO,BREST,SM CAEN,AC AJACCIO,FC LORIENT,FCSM,AJ AUXERRE
32,MONTPELLIER,PARIS SG,LOSC,OL,TOULOUSE FC,RENNES,ASSE,BORDEAUX,Evian TG,OM,NANCY,VAFC,FC LORIENT,OGC NICE,SM CAEN,DIJON FCO,BREST,FCSM,AC AJACCIO,AJ AUXERRE
33,MONTPELLIER,PARIS SG,LOSC,OL,RENNES,ASSE,TOULOUSE FC,BORDEAUX,Evian TG,OM,NANCY,OGC NICE,VAFC,FC LORIENT,SM CAEN,DIJON FCO,AC AJACCIO,BREST,FCSM,AJ AUXERRE
34,MONTPELLIER,PARIS SG,LOSC,OL,RENNES,ASSE,TOULOUSE FC,BORDEAUX,Evian TG,NANCY,OM,VAFC,FC LORIENT,OGC NICE,SM CAEN,DIJON FCO,AC AJACCIO,BREST,FCSM,AJ AUXERRE
35,MONTPELLIER,PARIS SG,LOSC,OL,RENNES,ASSE,TOULOUSE FC,BORDEAUX,Evian TG,OM,NANCY,VAFC,FC LORIENT,SM CAEN,OGC NICE,AC AJACCIO,AJ AUXERRE,BREST,DIJON FCO,FCSM
36,MONTPELLIER,PARIS SG,LOSC,OL,RENNES,ASSE,BORDEAUX,TOULOUSE FC,Evian TG,OM,NANCY,VAFC,FC LORIENT,OGC NICE,SM CAEN,AC AJACCIO,FCSM,BREST,DIJON FCO,AJ AUXERRE
37,MONTPELLIER,PARIS SG,LOSC,OL,BORDEAUX,ASSE,RENNES,TOULOUSE FC,Evian TG,OM,NANCY,VAFC,OGC NICE,FC LORIENT,FCSM,BREST,SM CAEN,AC AJACCIO,DIJON FCO,AJ AUXERRE
38,MONTPELLIER,PARIS SG,LOSC,OL,BORDEAUX,RENNES,ASSE,TOULOUSE FC,Evian TG,OM,NANCY,VAFC,OGC NICE,FCSM,BREST,AC AJACCIO,FC LORIENT,SM CAEN,DIJON FCO,AJ AUXERRE
